賙	zhou1	to give to the needy / to bestow alms / charity	zh	ou1	周貝
赒	zhou1	to give to the needy / to bestow alms / charity	zh	ou1	周贝
賡	geng1	to continue (as a song)	g	(e)ng1	庚貝
赓	geng1	to continue (as a song)	g	(e)ng1	庚贝
賠	pei2	to compensate for loss / to indemnify / to suffer a financial loss	p	ei2	咅貝
赔	pei2	to compensate for loss / to indemnify / to suffer a financial loss	p	ei2	咅贝
賧	dan3	fine	d	an3	炎貝
赕	dan3	fine	d	an3	炎贝
賵	feng4	(literary) gift (of money etc) to a bereaved family / to contribute to funeral expenses	f	(e)ng4	冒貝
赗	feng4	(literary) gift (of money etc) to a bereaved family / to contribute to funeral expenses	f	(e)ng4	冒贝
贅	zhui4	superfluous / redundant / cumbersome / refers to a son-in-law living with wife's family	zhu	ei4	敖貝
赘	zhui4	superfluous / redundant / cumbersome / refers to a son-in-law living with wife's family	zhu	ei4	敖贝
賻	fu4	to contribute to funeral expenses	fu	Ø4	尃貝
赙	fu4	to contribute to funeral expenses	fu	Ø4	尃贝
賺	zhuan4	to earn / to make a profit	zhu	an4	兼貝
赚	zhuan4	to earn / to make a profit	zhu	an4	兼贝
賺	zuan4	to cheat / to swindle	zu	an4	兼貝
赚	zuan4	to cheat / to swindle	zu	an4	兼贝
賽	sai4	to compete / competition / match / to surpass / better than / superior to / to excel	s	ai4	宀貝
赛	sai4	to compete / competition / match / to surpass / better than / superior to / to excel	s	ai4	宀贝
賾	ze2	mysterious	z	e2	𦣞責
赜	ze2	mysterious	z	e2	𦣞责
贋	yan4	variant of 贗|赝[yan4]	y	an4	貝雁
赝	yan4	variant of 贗|赝[yan4]	y	an4	贝雁
雁	yan4	wild goose	y	an4	倠厂
倠					亻隹
鴈	yan4	variant of 雁[yan4]	y	an4	𠌵厂
雁	yan4	variant of 雁[yan4]	y	an4	倠厂
𠌵					
贗	yan4	false	y	an4	貝鴈
赝	yan4	false	y	an4	贝雁
贇	yun1	good appearance	yu	(e)n1	斌貝
赟	yun1	good appearance	yu	(e)n1	斌贝
贈	zeng4	to give as a present / to repel / to bestow an honorary title after death (old)	z	(e)ng4	曾貝
赠	zeng4	to give as a present / to repel / to bestow an honorary title after death (old)	z	(e)ng4	曾贝
贍	shan4	to support / to provide for	sh	an4	詹貝
赡	shan4	to support / to provide for	sh	an4	詹贝
贏	ying2	to beat / to win / to profit	y	(e)ng2	𣎆貝
赢	ying2	to beat / to win / to profit	y	(e)ng2	𣎆贝
赧	nan3	blushing with shame	n	an3	𠬝赤
赩	xi4	red / scarlet	xi	Ø4	色赤
赬	cheng1	deep red	ch	(e)ng1	貞赤
赪	cheng1	deep red	ch	(e)ng1	贞赤
赭	zhe3	ocher	zh	e3	者赤
赯	tang2	red / crimson	t	ang2	唐赤
赱	zou3	variant of 走[zou3]	z	ou3	丷人土
赳	jiu1	see 赳赳[jiu1 jiu1]	ji	ou1	丩走
赴	fu4	to go / to visit (e.g. another country) / to attend (a banquet etc)	fu	Ø4	卜走
趙	zhao4	surname Zhao / one of the seven states during the Warring States Period (476-220 BC) / the Former Zhao 前趙 (304-329) and Later Zhao 後趙 (319-350), states of the Sixteen Kingdoms	zh	ao4	肖走
赵	zhao4	surname Zhao / one of the seven states during the Warring States Period (476-220 BC) / the Former Zhao 前趙 (304-329) and Later Zhao 後趙 (319-350), states of the Sixteen Kingdoms	zh	ao4	乂走
趙	zhao4	to surpass (old)	zh	ao4	肖走
赵	zhao4	to surpass (old)	zh	ao4	乂走
趕	gan3	to overtake / to catch up with / to hurry / to rush / to try to catch (the bus etc) / to drive (cattle etc) forward / to drive (sb) away / to avail oneself of (an opportunity) / until	g	an3	旱走
赶	gan3	to overtake / to catch up with / to hurry / to rush / to try to catch (the bus etc) / to drive (cattle etc) forward / to drive (sb) away / to avail oneself of (an opportunity) / until	g	an3	干走
起	qi3	to rise / to raise / to get up / to set out / to start / to appear / to launch / to initiate (action) / to draft / to establish / to get (from a depot or counter) / verb suffix, to start / (before place or time) starting from / classifier for occurrences or unpredictable events: case, instance / classifier for groups: batch, group	qi	Ø3	己走
赸	shan4	to jump / to leave	sh	an4	山走
趁	chen4	to avail oneself of / to take advantage of	ch	(e)n4	㐱走
趂	chen4	old variant of 趁[chen4]	ch	(e)n4	尔走
趁	chen4	old variant of 趁[chen4]	ch	(e)n4	㐱走
趄	ju1	to hesitate / to mark time	ju	Ø1	且走
趄	qie4	to recline	qi	e4	且走
超	chao1	to exceed / to overtake / to surpass / to transcend / to pass / to cross / ultra- / super-	ch	ao1	召走
趨	qu1	to hasten / to hurry / to walk fast / to approach / to tend towards / to converge	qu	Ø1	芻走
趋	qu1	to hasten / to hurry / to walk fast / to approach / to tend towards / to converge	qu	Ø1	刍走
趐	xue4	(archaic) to enter / to fly	xu	e4	羽走
趑	zi1	to falter / unable to move	z	Ø1	次走
趒	tiao2	to jump / to climb over / to leap / to posture / a gangway	ti	ao2	兆走
趔	lie4	stumble	li	e4	列走
䠀	tang1	old variant of 趟[tang1]	t	ang1	
趟	tang1	old variant of 趟[tang1]	t	ang1	尚走
趟	tang1	to wade / to trample / to turn the soil	t	ang1	尚走
趟	tang4	classifier for times, round trips or rows / a time / a trip	t	ang4	尚走
趡	cui3	place name	cu	ei3	走隹
趣	qu4	interesting / to interest	qu	Ø4	取走
趦	zi1	variant of 趑, to falter / unable to move	z	Ø1	咨走
趫	qiao2	nimble / walk on stilts	qi	ao2	喬走
趮	zao4	easily provoked, hasty / fierce, cruel	z	ao4	喿走
趯	ti4	to jump / way of stroke in calligraphy	ti	Ø4	翟走
趯	yue4	to jump	yu	e4	翟走
趲	zan3	to hasten / to urge	z	an3	贊走
趱	zan3	to hasten / to urge	z	an3	赞走
趴	pa1	to lie on one's stomach / to lean forward, resting one's upper body (on a desktop etc) / (Taiwan) percent	p	a1	⻊八
趵	bao4	jump / leap	b	ao4	⻊勺
趷	ke1	to jolt	k	e1	⻊乞
躉	dun3	wholesale	du	(e)n3	足
趸	dun3	wholesale	du	(e)n3	万足
趹	jue2	to gallop	ju	e2	⻊夬
趺	fu1	instep / tarsus	fu	Ø1	⻊夫
趼	jian3	callus (patch or hardened skin) / corns (on the feet)	ji	an3	⻊开
趾	zhi3	toe	zh	Ø3	⻊止
趿	ta1	see 趿拉[ta1 la5]	t	a1	⻊及
跁	pa2	to squat / crouch	p	a2	⻊巴
跂	ji1	foot	ji	Ø1	⻊支
跂	qi2	sixth (extra) toe / to crawl	qi	Ø2	⻊支
跂	qi3	to climb / to hope	qi	Ø3	⻊支
跂	qi4	to sit with feet hanging	qi	Ø4	⻊支
跂	zhi1	see 踶跂[di4 zhi1]	zh	Ø1	⻊支
躍	yue4	to jump / to leap	yu	e4	⻊翟
跃	yue4	to jump / to leap	yu	e4	⻊夭
蹌	qiang1	walk rapidly	qi	ang1	⻊倉
跄	qiang1	walk rapidly	qi	ang1	⻊仓
蹌	qiang4	stagger / sway from side to side	qi	ang4	⻊倉
跄	qiang4	stagger / sway from side to side	qi	ang4	⻊仓
跅	tuo4	careless	tu	o4	⻊斥
跆	tai2	to trample, to kick	t	ai2	⻊台
跋	ba2	postscript / to trek across mountains	b	a2	⻊犮
跌	die1	to drop / to fall / to tumble / Taiwan pr. [die2]	di	e1	⻊失
跍	ku1	to squat	ku	Ø1	⻊古
跎	tuo2	to stumble / to waste time	tu	o2	⻊它
跏	jia1	to sit cross-legged	ji	a1	⻊加
跐	ci3	to trample / to step / to walk on the ball of the foot	c	Ø3	⻊此
跑	pao2	(of an animal) to paw (the ground)	p	ao2	⻊包
跑	pao3	to run / to run away / to escape / to run around (on errands etc) / (of a gas or liquid) to leak or evaporate / (verb complement) away / off	p	ao3	⻊包
跕	die2	shuffle	di	e2	⻊占
跖	zhi2	variant of 蹠[zhi2]	zh	Ø2	⻊石
跗	fu1	instep / tarsus	fu	Ø1	⻊付
跙	ju3	weak, lame	ju	Ø3	⻊且
跚	shan1	limp	sh	an1	⻊册
跛	bo3	to limp / lame / crippled	b	o3	⻊皮
距	ju4	at a distance of / distance / to be apart	ju	Ø4	⻊巨
躒	li4	move / walk	li	Ø4	⻊樂
跞	li4	move / walk	li	Ø4	⻊乐
跟	gen1	heel / to follow closely / to go with / to marry sb (of woman) / with / towards / as (compared to) / from (different from) / and (in addition to)	g	(e)n1	⻊艮
跡					⻊亦
跣	xian3	barefooted	xi	an3	⻊先
跤	jiao1	to tumble / to fall	ji	ao1	⻊交
跥					⻊朶
跦	zhu1	pace back and forth / to walk	zhu	Ø1	⻊朱
跧	quan2	to curl up / to crouch	qu	an2	⻊全
跨	kua4	to step across / to stride over / to straddle / to span	ku	a4	⻊夸
跩	zhuai3	to waddle / to swagger / (coll.) strutting / self-satisfied	zhu	ai3	⻊曳
跪	gui4	to kneel	gu	ei4	⻊危
跫	qiong2	sound of footsteps	qu	(e)ng2	巩足
跬	kui3	brief / short step	ku	ei3	⻊圭
跮	chi4	hasty walking	ch	Ø4	⻊至
跱	zhi4	to squat / to stop	zh	Ø4	⻊寺
跲	jia2	to stumble	ji	a2	⻊合
跳	tiao4	to jump / to hop / to skip over / to bounce / to palpitate	ti	ao4	⻊兆
跴					⻊西
踐	jian4	to fulfill (a promise) / to tread / to walk	ji	an4	⻊戔
践	jian4	to fulfill (a promise) / to tread / to walk	ji	an4	⻊戋
躂	da1	to stumble / to slip / variant of 達|达[da2]	d	a1	⻊達
跶	da1	to stumble / to slip / variant of 達|达[da2]	d	a1	⻊达
蹺	qiao1	to raise one's foot / to stand on tiptoe / stilts	qi	ao1	⻊堯
跷	qiao1	to raise one's foot / to stand on tiptoe / stilts	qi	ao1	⻊尧
蹻	qiao1	variant of 蹺|跷[qiao1] / to raise one's foot / stilts	qi	ao1	⻊喬
跷	qiao1	variant of 蹺|跷[qiao1] / to raise one's foot / stilts	qi	ao1	⻊尧
蹕	bi4	to clear streets when emperor tours	bi	Ø4	⻊畢
跸	bi4	to clear streets when emperor tours	bi	Ø4	⻊毕
躚	xian1	to manner of dancing / to walk around	xi	an1	⻊遷
跹	xian1	to manner of dancing / to walk around	xi	an1	⻊迁
遷	qian1	to move / to shift / to change (a position or location etc) / to promote	qi	an1	辶
迁	qian1	to move / to shift / to change (a position or location etc) / to promote	qi	an1	千辶
跥	duo4	variant of 跺[duo4]	du	o4	⻊朶
跺	duo4	variant of 跺[duo4]	du	o4	⻊朵
跺	duo4	to stamp one's feet	du	o4	⻊朵
躋	ji1	to go up (esp. in rank) / to rise / to ascend	ji	Ø1	⻊齊
跻	ji1	to go up (esp. in rank) / to rise / to ascend	ji	Ø1	⻊齐
跼	ju2	cramped / narrow	ju	Ø2	⻊局
跽	ji4	kneel	ji	Ø4	⻊忌
踅	chi4	walk with one leg	ch	Ø4	折足
踅	xue2	to walk around / turn back midway	xu	e2	折足
踆	qun1	squat	qu	(e)n1	⻊夋
踈	shu1	variant of 疏[shu1]	shu	Ø1	⻊束
踉	liang2	jump	li	ang2	⻊良
踉	liang4	stagger / sway from side to side	li	ang4	⻊良
踊	yong3	leap	yu	(e)ng3	⻊甬
踴	yong3	leap	yu	(e)ng3	⻊勇
踊	yong3	leap	yu	(e)ng3	⻊甬
踋	jiao3	old variant of 腳|脚[jiao3]	ji	ao3	⻊却
躊	chou2	to pace back and forth / to hesitate / to waver	ch	ou2	⻊壽
踌	chou2	to pace back and forth / to hesitate / to waver	ch	ou2	⻊寿
踏	ta1	see 踏實|踏实[ta1 shi5]	t	a1	⻊沓
踏	ta4	to tread / to stamp / to step on / to press a pedal / to investigate on the spot	t	a4	⻊沓
踒	wo1	to slip and sprain a limb	w	o1	⻊委
踔	chuo1	to get ahead / to stride / to excel / Taiwan pr. [zhuo2]	chu	o1	⻊卓
踖	ji2	to step / walk reverently	ji	Ø2	⻊昔
踘	ju1	leather ball / Taiwan pr. [ju2]	ju	Ø1	⻊匊
踜	leng4	to stumble / to slip / to fall	l	(e)ng4	⻊夌
踝	huai2	ankle	hu	ai2	⻊果
踞	ju4	to be based upon / to squat	ju	Ø4	⻊居
踟	chi2	hesitating / undecided / hesitant	ch	Ø2	⻊知
踠	wan3	ankle / fetlock / bent / crooked	w	an3	⻊宛
踡	quan2	to curl up	qu	an2	⻊卷
踢	ti1	to kick / to play (e.g. soccer)	ti	Ø1	⻊易
踣	bo2	corpse / prostrate	b	o2	⻊咅
踤	cu4	to butt against	cu	Ø4	⻊卒
踥	qie4	to walk with small steps	qi	e4	⻊妾
踦	ji3	shin	ji	Ø3	⻊奇
踧	cu4	carefully / level / smooth	cu	Ø4	⻊叔
跴	cai3	variant of 踩[cai3]	c	ai3	⻊西
踩	cai3	variant of 踩[cai3]	c	ai3	⻊采
踩	cai3	to step on / to tread / to stamp / to press a pedal / to pedal (a bike)	c	ai3	⻊采
蹤	zong1	footprint / trace / tracks	zu	(e)ng1	⻊從
踪	zong1	footprint / trace / tracks	zu	(e)ng1	⻊宗
躓	zhi4	to stumble	zh	Ø4	⻊質
踬	zhi4	to stumble	zh	Ø4	⻊质
踮	dian3	to stand on tiptoe / Taiwan pr. [dian4]	di	an3	⻊店
躑	zhi2	hesitating / to stop	zh	Ø2	⻊鄭
踯	zhi2	hesitating / to stop	zh	Ø2	⻊郑
踰					⻊俞
踱	duo2	to stroll / to pace / Taiwan pr. [duo4]	du	o2	⻊度
踵	zhong3	to arrive / to follow / heel	zhu	(e)ng3	⻊重
踶	di4	to kick / to tread on	di	Ø4	⻊是
踹	chuai4	to kick / to trample / to tread on	chu	ai4	⻊耑
踺	jian4	somersault (in gymnastics or dance) / head-over-heels / aerial flip / also written 踺子	ji	an4	⻊建
踼	tang2	to fall flat / to fall on the face	t	ang2	⻊昜
踽	ju3	hunchbacked / walk alone	ju	Ø3	⻊禹
蹀	die2	to tread on / to stamp one's foot	di	e2	⻊枼
蹁	pian2	to limp	pi	an2	⻊扁
蹂	rou2	trample	r	ou2	⻊柔
蹄	ti2	hoof / pig's trotters	ti	Ø2	⻊帝
蹏	ti2	variant of 蹄[ti2]	ti	Ø2	⻊虒
蹄	ti2	variant of 蹄[ti2]	ti	Ø2	⻊帝
蹈	dao3	to tread on / to trample / to stamp / to fulfill / Taiwan pr. [dao4]	d	ao3	⻊舀
蹉	cuo1	to error / to slip / to miss / to err	cu	o1	⻊差
蹊	xi1	footpath	xi	Ø1	⻊奚
蹋	ta4	to step on	t	a4	⻊𦐇
蹎	dian1	to fall forward / etymological variant of 颠	di	an1	⻊真
蹐	ji2	walk with short steps	ji	Ø2	⻊脊
躡	nie4	to walk on tiptoe / to walk quietly / to tread (on) / to follow	ni	e4	⻊聶
蹑	nie4	to walk on tiptoe / to walk quietly / to tread (on) / to follow	ni	e4	⻊聂
蹣	pan2	limp	p	an2	兩艹足
蹒	pan2	limp	p	an2	两艹足
蹓	liu4	to stroll / walk a horse	li	ou4	⻊留
蹙	cu4	to knit (one's brows) / wrinkled (of brows) / to hesitate / distressed	cu	Ø4	戚足
蹚	tang1	to wade / to trample	t	ang1	⻊堂
蹜	suo1	walk carefully	su	o1	⻊宿
蹝	xi3	slippers	xi	Ø3	⻊徙
蹟					⻊責
蹠	zhi2	metatarsus / sole of foot / to tread on	zh	Ø2	⻊庶
蹡	qiang1	(manner of walking)	qi	ang1	⻊將
蹡	qiang4	see 踉蹡[liang4 qiang4]	qi	ang4	⻊將
蹢	di2	hoof	di	Ø2	⻊啇
蹦	beng4	to jump / to bounce / to hop	b	(e)ng4	⻊崩
蹧	zao1	see 蹧蹋[zao1 ta4]	z	ao1	⻊曹
蹩	bie2	limp	bi	e2	敝足
蹪	tui2	to stumble / to fall	tu	ei2	⻊貴
蹬	deng1	to step on / to tread on / to wear / Taiwan pr. [deng4]	d	(e)ng1	⻊登
蹭	ceng4	to rub against / to walk slowly / to freeload (colloquial)	c	(e)ng4	⻊曾
蹮	xian1	old variant of 躚|跹[xian1]	xi	an1	足
蹯	fan2	paws of animal	f	an2	⻊番
躕	chu2	irresolute / undecided	chu	Ø2	⻊廚
蹰	chu2	irresolute / undecided	chu	Ø2	⻊厨
蹲	dun1	to crouch / to squat / to stay (somewhere)	du	(e)n1	⻊尊
蹴	cu4	carefully / to kick / to tread on / to stamp	cu	Ø4	⻊就
蹵	cu4	variant of 蹴[cu4]	cu	Ø4	就足
蹴	cu4	variant of 蹴[cu4]	cu	Ø4	⻊就
蹶	jue2	to stumble / to trample / to kick (of horse)	ju	e2	⻊厥
蹶	jue3	see 尥蹶子[liao4 jue3 zi5]	ju	e3	⻊厥
蹼	pu3	web (of feet of ducks, frogs etc)	pu	Ø3	⻊菐
蹽	liao1	to run / to slip away / to stride	li	ao1	⻊尞
蹾	dun1	(coll.) to put sth down heavily / to plonk	du	(e)n1	⻊敦
躥	cuan1	to leap up	cu	an1	⻊竄
蹿	cuan1	to leap up	cu	an1	⻊窜
躁	zao4	hot-tempered / impatient	z	ao4	⻊喿
躃	bi4	variant of 躄[bi4]	bi	Ø4	⻊辟
躄	bi4	both feet crippled / lame	bi	Ø4	足辟
躅	zhu2	walk carefully / to hesitate / to halter	zhu	Ø2	⻊蜀
躇	chu2	to hesitate	chu	Ø2	⻊著
躪	lin4	to trample down / to oppress / to overrun / see 蹂躪|蹂躏[rou2 lin4]	li	(e)n4	⻊藺
躏	lin4	to trample down / to oppress / to overrun / see 蹂躪|蹂躏[rou2 lin4]	li	(e)n4	⻊蔺
躐	lie4	step across	li	e4	⻊巤
躔	chan2	course of stars / follow precedent	ch	an2	⻊廛
躗	wei4	to exaggerate / to fabricate / falsehood	w	ei4	衛足
躘	long2	to walk	lu	(e)ng2	⻊龍
躙	lin4	variant of 躪|躏, to trample down / to oppress / to overrun	li	(e)n4	⻊閵
躛	wei4	variant of 躗[wei4]	w	ei4	衞足
躦	zuan1	to jump	zu	an1	⻊贊
躜	zuan1	to jump	zu	an1	⻊赞
躝	lan2	to pass / to step over / to creep / to twine round	l	an2	⻊闌
躞	xie4	to walk	xi	e4	⻊燮
躠	xie4	to limp	xi	e4	足
躣	qu2	(manner of walking)	qu	Ø2	⻊瞿
躧	xi3	shoe / to step	xi	Ø3	⻊麗
躩	jue2	bend / leap	ju	e2	⻊矍
軀	qu1	human body	qu	Ø1	區身
躯	qu1	human body	qu	Ø1	区身
躰	ti3	variant of 體|体[ti3]	ti	Ø3	本身
躲	duo3	to hide / to dodge / to avoid	du	o3	朵身
躹	ju1	variant of 鞠[ju1]	ju	Ø1	匊身
躺	tang3	to recline / to lie down	t	ang3	尚身
軃	duo3	variant of 嚲|亸[duo3]	du	o3	單身
軆	ti3	old variant of 體|体[ti3]	ti	Ø3	豊身
軋					乚車
軏	yue4	crossbar for yoking horses	yu	e4	兀車
軔					刃車
軖	kuang2	spinning wheel / wheelbarrow	ku	ang2	王車
軘	tun2	war chariot	tu	(e)n2	屯車
軛					厄車
軜	na4	inner reins of a 4-horse team	n	a4	内車
軝	qi2	end of axle	qi	Ø2	氏車
軟					欠車
軠	kuang2	old variant of 軖[kuang2]	ku	ang2	壬車
軡	qian2	old variant of 黔[Qian2]	qi	an2	今車
転	zhuan3	Japanese variant of 轉|转	zhu	an3	云車
軥	qu2	ends of yoke	qu	Ø2	句車
軨	ling2	lattice work on front and sides	li	(e)ng2	令車
軫					㐱車
軭	kuang1	to spoil (Cant.) / to ruin / to warp (car wheel)	ku	ang1	匡車
軱	gu1	big bone	gu	Ø1	瓜車
軲					古車
軶	e4	old variant of 軛|轭[e4]	Ø	e4	戹車
軷	ba2	sacrifice	b	a2	犮車
軸					由車
軹					只車
軺					召車
軻					可車
軼					失車
軽	qing1	Japanese variant of 輕|轻	qi	(e)ng1	圣車
軾					式車
軿	ping2	curtained carriage used by women / to gather together / to assemble	pi	(e)ng2	并車
輀	er2	hearse	Ø	Ø2	而車
輂	ju2	horse carriage (old)	ju	Ø2	共車
較					交車
輅					各車
輇					全車
輈					舟車
輊					至車
輋	she1	old variant of 畬|畲[She1]	sh	e1	大山車
輒					耴車
輔					甫車
輕					巠車
輗	ni2	clamps for crossbar of carriage	ni	Ø2	兒車
輙					取車
輛					兩車
輜					甾車
輝					光軍
輞					罔車
輟					叕車
輠	guo3	grease-pot under a cart	gu	o3	果車
輣	peng2	war chariot (archaic)	p	(e)ng2	朋車
輤	qian4	a pall to cover the hearse	qi	an4	車青
輥					昆車
輩					車非
輪					侖車
輫	pai2	carriage (archaic)	p	ai2	車非
輬					京車
輭					耎車
輮	rou2	wheel band	r	ou2	柔車
輯					咠車
輳					奏車
輴	chun1	hearse	chu	(e)n1	盾車
輵	ge2	great array of spears and chariots	g	e2	曷車
輶	you2	light carriage / trifling	y	ou2	車酋
輸					俞車
輹	fu4	parts of cart holding the axle	fu	Ø4	复車
輻					畐車
輼	wen1	variant of 轀|辒, hearse	w	(e)n1	昷車
輾					展車
轀					𥁕車
轄					害車
轅					袁車
轆					車鹿
轇	jiu1	complicated, confused / dispute	ji	ou1	翏車
轍					車
轎					喬車
轏	zhan4	chariot for sleeping and conveyance	zh	an4	孱車
轑	lao3	spokes	l	ao3	尞車
轒	fen2	war chariot	f	(e)n2	賁車
轔					粦車
轕	ge2	confused / disorderly	g	e2	葛車
轖	se4	leather top of a cart	s	e4	嗇車
轗	kan3	to be unable to reach one's aim / to be full of misfortune	k	an3	感車
轘	huan4	to tear between chariots (as punishment)	hu	an4	睘車
轙	yi3	rings on the yokes	y	Ø3	義車
轜	er2	variant of 輀[er2]	Ø	Ø2	車需
轝	yu2	variant of 輿|舆[yu2]	yu	Ø2	與車
轞	xian4	vehicle for transporting prisoners	xi	an4	監車
轟					車
轡					𦆕口
轢					樂車
轤					盧車
軋	ya4	surname Ya	y	a4	乚車
轧	ya4	surname Ya	y	a4	乚车
軋	ga2	to crush together (in a crowd) / to make friends / to check (accounts)	g	a2	乚車
轧	ga2	to crush together (in a crowd) / to make friends / to check (accounts)	g	a2	乚车
軋	ya4	to crush / to knock sb down with a vehicle	y	a4	乚車
轧	ya4	to crush / to knock sb down with a vehicle	y	a4	乚车
軋	zha2	to roll (steel)	zh	a2	乚車
轧	zha2	to roll (steel)	zh	a2	乚车
軒	xuan1	surname Xuan	xu	an1	干車
轩	xuan1	surname Xuan	xu	an1	干车
軒	xuan1	pavilion with a view / high / tall / high fronted, curtained carriage (old)	xu	an1	干車
轩	xuan1	pavilion with a view / high / tall / high fronted, curtained carriage (old)	xu	an1	干车
軔	ren4	brake	r	(e)n4	刃車
轫	ren4	brake	r	(e)n4	刃车
軛	e4	to restrain / to yoke	Ø	e4	厄車
轭	e4	to restrain / to yoke	Ø	e4	厄车
輪	lun2	wheel / disk / ring / steamship / to take turns / to rotate / by turn / classifier for big round objects: disk, or recurring events: round, turn	lu	(e)n2	侖車
轮	lun2	wheel / disk / ring / steamship / to take turns / to rotate / by turn / classifier for big round objects: disk, or recurring events: round, turn	lu	(e)n2	仑车
軟	ruan3	soft / flexible	ru	an3	欠車
软	ruan3	soft / flexible	ru	an3	欠车
輭	ruan3	variant of 軟|软[ruan3]	ru	an3	耎車
软	ruan3	variant of 軟|软[ruan3]	ru	an3	欠车
轟	hong1	explosion / bang / boom / rumble / to attack / to shoo away / to expel	hu	(e)ng1	車
轰	hong1	explosion / bang / boom / rumble / to attack / to shoo away / to expel	hu	(e)ng1	双车
軲	gu1	wheel / to roll	gu	Ø1	古車
轱	gu1	wheel / to roll	gu	Ø1	古车
軻	ke1	given name of Mencius	k	e1	可車
轲	ke1	given name of Mencius	k	e1	可车
軻	ke3	see 轗軻|轗轲[kan3 ke3]	k	e3	可車
轲	ke3	see 轗軻|轗轲[kan3 ke3]	k	e3	可车
轤	lu2	windlass	lu	Ø2	盧車
轳	lu2	windlass	lu	Ø2	卢车
軸	zhou2	axis / axle	zh	ou2	由車
轴	zhou2	axis / axle	zh	ou2	由车
軸	zhou4	see 壓軸戲|压轴戏[ya1 zhou4 xi4]	zh	ou4	由車
轴	zhou4	see 壓軸戲|压轴戏[ya1 zhou4 xi4]	zh	ou4	由车
軹	zhi3	end of axle outside of hub	zh	Ø3	只車
轵	zhi3	end of axle outside of hub	zh	Ø3	只车
軼	yi4	to excel / to surpass / to be scattered / variant of 逸[yi4], leisurely	y	Ø4	失車
轶	yi4	to excel / to surpass / to be scattered / variant of 逸[yi4], leisurely	y	Ø4	失车
軫	zhen3	square / strongly (as of emotion)	zh	(e)n3	㐱車
轸	zhen3	square / strongly (as of emotion)	zh	(e)n3	㐱车
轢	li4	to bully / wheel-rut	li	Ø4	樂車
轹	li4	to bully / wheel-rut	li	Ø4	乐车
軺	yao2	light carriage	y	ao2	召車
轺	yao2	light carriage	y	ao2	召车
輕	qing1	light / easy / gentle / soft / reckless / unimportant / frivolous / small in number / unstressed / neutral / to disparage	qi	(e)ng1	巠車
轻	qing1	light / easy / gentle / soft / reckless / unimportant / frivolous / small in number / unstressed / neutral / to disparage	qi	(e)ng1	工车
軾	shi4	crossbar in carriage front	sh	Ø4	式車
轼	shi4	crossbar in carriage front	sh	Ø4	式车
輊	zhi4	back and lower of chariot / short / low	zh	Ø4	至車
轾	zhi4	back and lower of chariot / short / low	zh	Ø4	至车
轎	jiao4	a sedan chair / a palanquin / a litter	ji	ao4	喬車
轿	jiao4	a sedan chair / a palanquin / a litter	ji	ao4	乔车
輈	zhou1	(literary) shaft (of a cart) / cart	zh	ou1	舟車
辀	zhou1	(literary) shaft (of a cart) / cart	zh	ou1	舟车
輇	quan2	limited (of talent or ability) / (archaic) solid wheel (without spokes)	qu	an2	全車
辁	quan2	limited (of talent or ability) / (archaic) solid wheel (without spokes)	qu	an2	全车
輅	lu4	chariot	lu	Ø4	各車
辂	lu4	chariot	lu	Ø4	各车
較	jiao4	comparatively / (preposition comparing difference in degree) / to contrast / to compare / rather / fairly / clearly (different) / markedly / to haggle over / to quibble / also pr. [jiao3]	ji	ao4	交車
较	jiao4	comparatively / (preposition comparing difference in degree) / to contrast / to compare / rather / fairly / clearly (different) / markedly / to haggle over / to quibble / also pr. [jiao3]	ji	ao4	交车
輒	zhe2	then / at once / always / (archaic) luggage rack on a chariot	zh	e2	耴車
辄	zhe2	then / at once / always / (archaic) luggage rack on a chariot	zh	e2	耴车
耴					乚耳
輙	zhe2	variant of 輒|辄[zhe2]	zh	e2	取車
辄	zhe2	variant of 輒|辄[zhe2]	zh	e2	耴车
輔	fu3	to assist / to complement / auxiliary	fu	Ø3	甫車
辅	fu3	to assist / to complement / auxiliary	fu	Ø3	甫车
輛	liang4	classifier for vehicles	li	ang4	兩車
辆	liang4	classifier for vehicles	li	ang4	两车
輩	bei4	contemporaries / generation / lifetime	b	ei4	車非
辈	bei4	contemporaries / generation / lifetime	b	ei4	车非
輝	hui1	splendor / to shine upon	hu	ei1	光軍
辉	hui1	splendor / to shine upon	hu	ei1	光军
輥	gun3	to revolve / stone roller	gu	(e)n3	昆車
辊	gun3	to revolve / stone roller	gu	(e)n3	昆车
輞	wang3	tire / wheel band	w	ang3	罔車
辋	wang3	tire / wheel band	w	ang3	罔车
輬	liang2	see 轀輬|辒辌[wen1 liang2]	li	ang2	京車
辌	liang2	see 轀輬|辒辌[wen1 liang2]	li	ang2	京车
輟	chuo4	to stop (before completion) / to cease / to suspend	chu	o4	叕車
辍	chuo4	to stop (before completion) / to cease / to suspend	chu	o4	叕车
輜	zi1	covered wagon / military supply wagon	z	Ø1	甾車
辎	zi1	covered wagon / military supply wagon	z	Ø1	甾车
輳	cou4	to converge / hub of wheel	c	ou4	奏車
辏	cou4	to converge / hub of wheel	c	ou4	奏车
輻	fu2	spoke of a wheel	fu	Ø2	畐車
辐	fu2	spoke of a wheel	fu	Ø2	畐车
輯	ji2	to gather up / to collect / to edit / to compile	ji	Ø2	咠車
辑	ji2	to gather up / to collect / to edit / to compile	ji	Ø2	咠车
